;obj.è.;Jaz.název;cena s DPH, WEB bez dalších slev
Proteco 10.01-A225D;10.01-A225D;kleštì armovací 225mm PH;67
Proteco 10.01-A250D;10.01-A250D;kleštì armovací 250mm PH;81
Proteco 10.01-A275D;10.01-A275D;kleštì armovací 275mm PH;91
Proteco 10.01-BS160A;10.01-BS160A;kleštì boèní štípací 160mm Ni dvouplast;66
Proteco 10.01-BS160C;10.01-BS160C;kleštì boèní štípací 160mm leštìné PVC;66
Proteco 10.01-BS180A;10.01-BS180A;kleštì boèní štípací 180mm Ni dvouplast;82
Proteco 10.01-BS180C;10.01-BS180C;kleštì boèní štípací 180mm leštìné PVC;53
Proteco 10.01-CS160D;10.01-CS160D;kleštì èelní štípací 160mm PH;58
Proteco 10.01-CS180D;10.01-CS180D;kleštì èelní štípací 180mm PH;63
Proteco 10.01-CS200D;10.01-CS200D;kleštì èelní štípací 200mm PH;71
Proteco 10.01-CS250D;10.01-CS250D;kleštì èelní štípací 250mm PH;99
Proteco 10.01-HH1;10.01-HH1;"hasák Herkules 90 st. 1""";143
Proteco 10.01-HH1.5;10.01-HH1.5;"hasák Herkules 90 st. 1.5""";209
Proteco 10.01-HH2;10.01-HH2;"hasák Herkules 90 st. 2""";306
Proteco 10.01-HM250;10.01-HM250;"hasák na trubky s vodicí maticí 250mm - 1.5""";144
Proteco 10.01-HM300;10.01-HM300;"hasák na trubky s vodicí maticí 300mm - 2""";157
Proteco 10.01-I160A;10.01-I160A;kleštì odizolovací 160mm Ni dvouplast;83
Proteco 10.01-I160C;10.01-I160C;kleštì odizolovací 160mm leštìné PVC;88
Proteco 10.01-K160A;10.01-K160A;kleštì kombinované 160mm Ni dvouplast;74
Proteco 10.01-K160C;10.01-K160C;kleštì kombinované 160mm leštìné PVC;74
Proteco 10.01-K180A;10.01-K180A;kleštì kombinované 180mm Ni dvouplast;82
Proteco 10.01-K180C;10.01-K180C;kleštì kombinované 180mm leštìné PVC;85
Proteco 10.01-K200A;10.01-K200A;kleštì kombinované 200mm Ni dvouplast;96
Proteco 10.01-K200C;10.01-K200C;kleštì kombinované 200mm leštìné PVC;96
Proteco 10.01-KC160A;10.01-KC160A;kleštì na drát kulatá èelist 160mm Ni dvouplast;62
Proteco 10.01-P160A;10.01-P160A;kleštì ploché 160mm Ni dvouplast na jemnou mechaniku;63
Proteco 10.01-P160C;10.01-P160C;kleštì ploché 160mm leštìné PVC na jemnou mechaniku;63
Proteco 10.01-P200A;10.01-P200A;kleštì ploché 200mm Ni dvouplast na jemnou mechaniku;80
Proteco 10.01-P200C;10.01-P200C;kleštì ploché 200mm leštìné PVC na jemnou mechaniku;80
Proteco 10.01-PKH160D;10.01-PKH160D;kleštì na pojistné krouky - høídel  90st. 150mm PH;46
