Sekera FISKARS X11 štípací, plastové pouzdro;Fiskars 122440;122440;6411501224408;1034;
Sekera FISKARS X17 štípací, plastové pouzdro;Fiskars 122460;122460;6411501224606;1265;
Sekera FISKARS X25 štípací, plastové pouzdro;Fiskars 122480;122480;6411501224804;1740;
Sekera FISKARS X27 štípací, plastové pouzdro;Fiskars 122500;122500;6411501225009;1800;
Sekera FISKARS X5, šité pouzdro;Fiskars 121121;121121;6411501211217;729;
Sekera FISKARS X7, plastové pouzdro;Fiskars 121420;121420;6411501214201;818;
Sekera FISKARS X10, plastové pouzdro;Fiskars 121440;121440;6411501214409;1004;
Sekera FISKARS X15, plastové pouzdro;Fiskars 121460;121460;6411501214607;1265;
Ostøiè nožù a seker XsharpTM;Fiskars 120740;120740;6411501207401;305;
Maèeta WoodXpertTM XA3;Fiskars 126004;126004;6411501260048;870;
Maèeta WoodXpertTM XA23;Fiskars 126005;126005;6411501260055;1398;
Sapina WoodXpertTM XA2;Fiskars 126006;126006;6411501260062;878;
Sapina WoodXpertTM XA22;Fiskars 126007;126007;6411501260079;1458;
Hák na klády WoodXpertTM;Fiskars 126021;126021;6411501260215;647;
Kleštì na klády WoodXpertTM;Fiskars 126031;126031;6411501260314;818;
Víceúèelový opasek WoodXpertTM;Fiskars 126009;126009;6411501260093;506;
Pilka zahradní XtractTM velká;Fiskars 123880;123880;6411501238801;743;
Pilka zahradní XtractTM malá;Fiskars 123870;123870;6411501238702;536;
Pilka stavební XtractTM;Fiskars 123860;123860;6411501238603;558;
Zahradní pilka s pevnou èepelí, plastové pouzdro;Fiskars 123840;123840;6411501238405;990;
21Pila rámová 54 cm;Fiskars 124800;124800;5702264141004;305;
24Pila rámová 61 cm;Fiskars 124810;124810;5702264141011;365;
Lopatka s obracákem;Fiskars 126050;126050;6411503194525;1139;
Palice XL;Fiskars 120030;120030;6411501200303;1250;
Štípací klín velký;Fiskars 120020;120020;6411501200204;626;
Spirálovitý štípací klín SAFE-T;Fiskars 120021;120021;6411501200211;1190;
Nùž univerzální;Fiskars 125860;125860;6411502870628;194;
Žabka zahradnická;Fiskars 125880;125880;8008220020473;261;
Nùž roubovací;Fiskars 125890;125890;8008220020480;261;
Nùž oèkovací;Fiskars 125900;125900;8008220020497;261;
Nùž na minerální vlnu;Fiskars 125870;125870;6411502879027;387;
Rýè ErgonomicTM zahradní, špièatý;Fiskars 131410;131410;5905568020024;707;
Rýè ErgonomicTM zahradní, rovný;Fiskars 131400;131400;5905568020017;707;
Lopata ErgonomicTM;Fiskars 132400;132400;5905568020031;707;
Vidle ErgonomicTM rycí;Fiskars 133400;133400;5905568902108;707;
Rýè SolidTM špièatý;Fiskars 131413;131413;6411501314130;312;
Rýè SolidTM rovný;Fiskars 131403;131403;6411501314031;312;
Lopata SolidTM;Fiskars 132403;132403;6411501324030;335;
Rýè SolidTM do auta;Fiskars 131417;131417;6411501314178;269;
Vidle SolidTM rycí;Fiskars 133423;133423;6411501334237;365;
Vidle SolidTM kompostové;Fiskars 133433;133433;6411501334336;365;
Lehký dámský rýè;Fiskars 131510;131510;7317791120613;632;
Lehký rýè zahradní rovný;Fiskars 131500;131500;7317791120606;632;
Lehká lopata;Fiskars 132500;132500;7317791118603;669;
Lehké zahradní vidle rycí;Fiskars 133500;133500;5905561335002;626;
Hrábì lehké zahradní;Fiskars 135510;135510;5905568800244;506;
Vrták QuikDrillTM zemní S;Fiskars 134710;134710;5905568347107;1116;
Vrták QuikDrillTM zemní M;Fiskars 134720;134720;5905568347206;1175;
Vrták QuikDrillTM zemní L;Fiskars 134730;134730;5905568347305;1235;
Výmìnné QuikDrillTM èepele S;Fiskars 134717;134717;5905568347176;335;
Výmìnné QuikDrillTM èepele M;Fiskars 134727;134727;5905568347275;381;
Výmìnné èepele QuikDrillTM L;Fiskars 134737;134737;5905568347374;417;
Lopatka PremiumTM;Fiskars 137200;137200;6411501372000;209;
