MT070E;Maktec MT070E;Aku vrtací šroubovák Maktec Li-ion 14,4V/1,1Ah;0088381617635;3990;6
MT071E;Maktec MT071E;Aku vrtací šroubovák Maktec Li-ion 18V/1,1Ah;0088381617659;4490;6
MT080E;Maktec MT080E;Aku pøíklepový šroubovák Maktec Li-ion 14,4V/1,1Ah;0088381617673;4290;6
MT081E;Maktec MT081E;Aku pøíklepový šroubovák Maktec Li-ion 18V/1,1Ah;0088381617697;4790;6
MT191;Maktec MT191;Hoblík Maktec 82mm,580W;0088381620437;2990;6
MT361;Maktec MT361;Vrchní frézka Maktec 900W;0088381620079;3990;6
MT431;Maktec MT431;Pøímoèará pila Maktec 450W;0088381609791;1990;6
MT450K;Maktec MT450K;Pila ocaska Maktec s kufrem, 1010W;;3490;6
MT582;Maktec MT582;Ruèní kotouèová pila Maktec 190mm,1050W;0088381610322;3290;6
MT607;Maktec MT607;Vrtaèka Maktec 450W;0088381620222;1690;6
MT815K;Maktec MT815K;Pøíklepová vrtaèka s kufrem Maktec 710W;0088381609333;1990;6
MT870;Maktec MT870;Vrtací kladivo Maktec 710W;0088381622998;3290;6
MT903;Maktec MT903;Úhlová bruska Maktec 230mm,2000W;0088381610353;2690;6
MT923;Maktec MT923;Vibraèní bruska 93x185mm,190W;0088381612241;1690;6
MT924;Maktec MT924;Excentrická bruska Maktec 123mm,230W;0088381618977;2190;6
MT941;Maktec MT941;Pásová bruska Maktec 610x100mm,940W;0088381634632;4990;6
MT962;Maktec MT962;Úhlová bruska Maktec 115mm,570W;0088381609487;1390;6
MT963;Maktec MT963;Úhlová bruska Maktec 125mm,570W;0088381609500;1490;6
